epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9303,1.52595,2.98795,1.67281,0.0116,0.94444,0.29128,0.1812,0.95405,2.74162,1.23102,0.00010002,0.00010002,0.00010002
2,5.20152,1.19532,2.76098,1.46733,0.0147,1,0.48894,0.19201,1.65219,2.87755,1.6223,0.000214565,0.000214565,0.000214565
3,7.44737,1.1685,2.44926,1.45997,0.01264,0.97222,0.46569,0.26164,1.32402,2.69773,1.44301,0.000326799,0.000326799,0.000326799
4,9.60515,1.12183,2.16993,1.37664,0.01246,0.97222,0.53731,0.33739,1.63299,2.67301,1.56878,0.000436722,0.000436722,0.000436722
5,11.7927,1.20849,1.85606,1.46372,0.01202,0.97222,0.79292,0.35021,1.45654,2.46617,1.58996,0.000544336,0.000544336,0.000544336
6,13.9256,1.08054,1.77066,1.39546,0.90287,0.53424,0.84997,0.44123,1.35598,2.27535,1.6281,0.000649638,0.000649638,0.000649638
7,16.0962,1.09857,1.5235,1.45411,0.5,0.13253,0.55858,0.26457,1.68648,2.29817,1.97061,0.00075263,0.00075263,0.00075263
8,18.2232,1.25613,1.44715,1.49569,0.65317,0.5965,0.64287,0.29647,1.75527,2.20757,1.94569,0.000853312,0.000853312,0.000853312
9,20.3661,1.21653,1.39583,1.48839,0.63539,0.49536,0.41512,0.20823,1.78915,2.20332,1.92332,0.000951684,0.000951684,0.000951684
10,22.4383,1.04652,1.27903,1.33504,0.59845,0.38515,0.4593,0.21591,1.66712,2.16195,1.92664,0.00104774,0.00104774,0.00104774
11,24.5156,1.14983,1.24108,1.41566,0.50061,0.52874,0.46845,0.21386,1.73694,2.22167,2.10479,0.00114149,0.00114149,0.00114149
12,26.6317,1.11544,1.41021,1.43996,0.33573,0.30556,0.26743,0.12539,1.80676,2.47861,2.32069,0.00123293,0.00123293,0.00123293
13,28.7208,1.17505,1.2727,1.42555,0.37772,0.36111,0.2796,0.12721,1.81988,2.53735,2.26966,0.00132206,0.00132206,0.00132206
14,30.8268,1.17999,1.38749,1.46223,0.70012,0.58164,0.814,0.36021,1.81436,2.00557,2.16531,0.00140888,0.00140888,0.00140888
15,33.0236,1.15682,1.23182,1.3975,0.7348,0.66667,0.7126,0.44722,1.62154,1.81981,2.01179,0.00143595,0.00143595,0.00143595
16,35.1139,1.10684,1.39813,1.40558,0.49382,0.69444,0.46927,0.27183,1.58508,1.7243,1.918,0.00141945,0.00141945,0.00141945
17,37.1776,1.10747,1.22736,1.41109,0.47141,0.69444,0.46103,0.2305,1.69919,1.70609,2.01971,0.00140295,0.00140295,0.00140295
18,39.2685,1.16127,1.27139,1.45439,0.57107,0.41667,0.53608,0.27615,1.93632,1.75048,2.31171,0.00138644,0.00138644,0.00138644
19,41.3648,1.13856,1.17437,1.39766,0.71635,0.70428,0.81175,0.33754,1.82125,1.62255,2.19543,0.00136994,0.00136994,0.00136994
20,43.4897,1.17094,1.21488,1.46464,0.61108,0.79735,0.73719,0.30853,1.79544,1.52356,2.1752,0.00135344,0.00135344,0.00135344
21,45.5367,0.95628,1.13093,1.27617,0.35544,0.58333,0.45683,0.17844,1.99268,1.77663,2.25813,0.00133693,0.00133693,0.00133693
22,47.6107,1.07265,1.05549,1.30269,0.33697,0.33333,0.34136,0.15601,2.05551,2.13653,2.42689,0.00132043,0.00132043,0.00132043
23,49.6886,1.02645,1.08666,1.33512,0.42691,0.25,0.37865,0.17177,1.84063,2.01841,2.18851,0.00130393,0.00130393,0.00130393
24,51.772,1.01071,1.01767,1.28291,0.7502,0.75,0.67954,0.21589,2.00624,2.07751,2.11505,0.00128742,0.00128742,0.00128742
25,53.8262,0.94834,0.98482,1.2427,0.50222,0.55556,0.54483,0.26217,1.99728,1.97677,2.17176,0.00127092,0.00127092,0.00127092
26,55.9193,1.0176,1.02613,1.29852,0.94245,0.59761,0.75986,0.33597,1.86502,1.69639,2.11251,0.00125442,0.00125442,0.00125442
27,58.0166,1.03489,1.00007,1.25928,0.69599,0.75,0.77863,0.32656,1.87524,1.81171,2.28474,0.00123791,0.00123791,0.00123791
28,60.0932,0.96147,0.93478,1.24758,0.61645,0.78767,0.65247,0.32681,1.7587,1.72757,1.84921,0.00122141,0.00122141,0.00122141
29,62.1304,0.95304,0.94863,1.219,0.66425,0.77778,0.81518,0.37028,1.65454,1.71187,1.77577,0.00120491,0.00120491,0.00120491
30,64.3348,0.91048,0.91232,1.22849,0.52329,0.66996,0.72014,0.3036,1.76543,1.75336,1.94462,0.0011884,0.0011884,0.0011884
31,66.4376,0.87616,0.88816,1.22132,0.38266,0.69444,0.56046,0.34464,1.88438,1.6224,2.05641,0.0011719,0.0011719,0.0011719
